analysis_source,source_run,N,geometry,lambda_fit,beta_fit,lambda_action,action_over_fit,relative_tensor_difference,bianchi_relative,Rscalar_mask_rms,score_points,total_points,score_fraction,elapsed_seconds,extent,t_extent,amplitude,width,radius,mass,eps,omega,k,score,interior_crop,residual_fit,residual_action,residual_H,bianchi_abs,G_mixed_norm,S_min,S_max,sweep_label,sweep_amplitude,sweep_width,sweep_omega,sweep_Aomega,sweep_score,resolution_stage,redesign
Stage7G FRW sweep N61,,61,frw,-0.0024167305605825,3.044060447664788,0.0011983958536573,1.000199614659913,0.0726516269108355,0.000202888690119,0.1807122336231509,9150625,13845841,0.6608934047415393,398.1904215812683,,,,,,,,,,,,,,,,,,,N61_frw_A0p010_O2p0,0.01,,2.0,0.02,,,
Stage7G FRW sweep N61,,61,frw,-0.0074817454396491,4.452202958348956,0.0026978679525499,1.0002710488348985,0.0948979786310041,0.0007623509475329,0.4043645923345447,9150625,13845841,0.6608934047415393,410.0652484893799,,,,,,,,,,,,,,,,,,,N61_frw_A0p010_O3p0,0.01,,3.0,0.03,,,
Stage7G FRW sweep N61,,61,frw,-0.0098072430591128,6.65778909284496,0.0018742738489796,1.00309192703327,0.238140795383433,0.0001117208346037,0.0730997404867948,9150625,13845841,0.6608934047415393,404.5248816013336,,,,,,,,,,,,,,,,,,,N61_frw_A0p025_O1p0,0.025,,1.0,0.025,,,
Stage7G FRW sweep N61,,61,frw,-0.015091653616155,3.041026384362904,0.0074919857845905,1.0012479684087925,0.1818875130909232,0.0005081668114848,0.4522735441301257,9150625,13845841,0.6608934047415393,411.52416014671326,,,,,,,,,,,,,,,,,,,N61_frw_A0p025_O2p0,0.025,,2.0,0.05,,,
Stage7G FRW sweep N61,,61,frw,-0.0466897093335887,4.444656710670618,0.0168672437992624,1.001694530344555,0.2362464062776962,0.0019093560870327,1.0120463148029413,9150625,13845841,0.6608934047415393,400.3830096721649,,,,,,,,,,,,,,,,,,,N61_frw_A0p025_O3p0,0.025,,3.0,0.075,,,
Stage7G FRW sweep N61,,61,frw,-0.038778821009716,6.578709624449907,0.0075030941456701,1.012381591548593,0.4512097241893046,0.0002230052925654,0.1472131723772029,9150625,13845841,0.6608934047415393,406.81418538093567,,,,,,,,,,,,,,,,,,,N61_frw_A0p050_O1p0,0.05,,1.0,0.05,,,
Stage7G FRW sweep N61,,61,frw,-0.0601829358823957,3.030234753839633,0.0299967263264294,1.0049972675189165,0.3654915817768785,0.0010230861154182,0.9080727100664984,9150625,13845841,0.6608934047415393,408.7656245231629,,,,,,,,,,,,,,,,,,,N61_frw_A0p050_O2p0,0.05,,2.0,0.1,,,
Stage7G FRW sweep N61,,61,frw,-0.1857493173540666,4.417903509043342,0.067548664427382,1.0067849419392043,0.4654586685601585,0.0038435432007654,2.0322093939964194,9150625,13845841,0.6608934047415393,400.8723850250244,,,,,,,,,,,,,,,,,,,N61_frw_A0p050_O3p0,0.05,,3.0,0.15,,,
Stage7H weak-GW sweep N61,,61,weak_gw_packet,-3.90688485442014e-06,-0.2990374779118872,3.97808819428738e-06,1.2089869123133932,0.0002182489589909,0.0157595459785898,0.0002638228162049,9150625,13845841,0.6608934047415393,467.136120557785,,,,,,,,,,,,,,,,,,,N61_weakgw_A0p005_all,0.005,,,,all,,
Stage7H weak-GW sweep N61,,61,weak_gw_packet,-3.908006673026786e-06,-0.2990379763879714,3.979240939413528e-06,1.2089868085762376,0.0002183042764894,0.0157684007582464,0.0010945306588152,528011,13845841,0.0381349894166775,463.9942638874054,,,,,,,,,,,,,,,,,,,N61_weakgw_A0p005_localized,0.005,,,,localized,,
Stage7H weak-GW sweep N61,,61,weak_gw_packet,-1.572867868668247e-05,-0.296793139771823,1.59135765501243e-05,1.211537231543604,0.0004382514268773,0.0315139771266107,0.0005291325393204,9150625,13845841,0.6608934047415393,440.1965591907501,,,,,,,,,,,,,,,,,,,N61_weakgw_A0p010_all,0.01,,,,all,,
Stage7H weak-GW sweep N61,,61,weak_gw_packet,-1.5733195743707972e-05,-0.2967936263352314,1.591818788437699e-05,1.21153713058228,0.0004383625127128,0.031531676334081,0.0021952724640481,528011,13845841,0.0381349894166775,426.9410281181336,,,,,,,,,,,,,,,,,,,N61_weakgw_A0p010_localized,0.01,,,,localized,,
Stage7H weak-GW sweep N61,,61,weak_gw_packet,-0.000102460328815,-0.2820435958981442,9.951341627380166e-05,1.229225072780688,0.0011249509458827,0.0786957055019839,0.0013485768203025,9150625,13845841,0.6608934047415393,435.32608294487,,,,,,,,,,,,,,,,,,,N61_weakgw_A0p025_all,0.025,,,,all,,
Stage7H weak-GW sweep N61,,61,weak_gw_packet,-0.0001024897847891,-0.2820440023075323,9.954225259594456e-05,1.2292249922949563,0.0011252361978756,0.0787397730614267,0.0055957177633369,528011,13845841,0.0381349894166775,444.78541111946106,,,,,,,,,,,,,,,,,,,N61_weakgw_A0p025_localized,0.025,,,,localized,,
Stage7H weak-GW sweep N61,,61,weak_gw_packet,-0.0004571049460286,-0.2401894055366312,0.0003988201516765,1.2900041349376443,0.0024284950145984,0.1567617133711144,0.0028738361563913,9150625,13845841,0.6608934047415393,429.4475295543671,,,,,,,,,,,,,,,,,,,N61_weakgw_A0p050_all,0.05,,,,all,,
Stage7H weak-GW sweep N61,,61,weak_gw_packet,-0.000457236713319,-0.2401895667958155,0.0003989357185284,1.2900041398433308,0.0024291113771509,0.156848579158833,0.011929226661115,528011,13845841,0.0381349894166775,438.14038920402527,,,,,,,,,,,,,,,,,,,N61_weakgw_A0p050_localized,0.05,,,,localized,,
Stage7I static shell masks N61,,61,static_shell,-0.0064322351105786,19.28561405680196,-0.000685289150543,1.2625526355654324,0.3847545603551924,0.0055152141701396,0.0537785004660534,9150625,13845841,0.6608934047415393,575.6693065166473,,,,,,,,,,,,,,,,,,,N61_static_shell_all,,,,,all,,
Stage7I static shell masks N61,,61,static_shell,-0.00643223623644,19.285614289983663,-0.0006852893039531,1.262552640540949,0.3847547695721571,0.0055152188635916,0.0709115292769908,5263005,13845841,0.3801145051427356,448.5253436565399,,,,,,,,,,,,,,,,,,,N61_static_shell_localized,,,,,localized,,
Stage7I static shell masks N61,,61,static_shell,-0.0613643154507899,11.416483249942235,-0.0676275468614134,1.4479804704509978,0.3017501691625386,0.0048641919901112,0.1779205712862836,496870,13845841,0.0358858663767697,425.6478989124298,,,,,,,,,,,,,,,,,,,N61_static_shell_shell_center,,,,,shell_center,,
Stage7I static shell masks N61,,61,static_shell,-0.0196502878614178,19.07521623437972,-0.0138315424968574,1.4609695522313424,0.4125242610344913,0.0058593765162232,0.1205922002153093,1429890,13845841,0.1032721667105667,483.5390214920044,,,,,,,,,,,,,,,,,,,N61_static_shell_shell_core,,,,,shell_core,,
Stage7I static shell masks N61,,61,static_shell,0.0046117737628119,16.147287708849007,0.0114140986592906,1.276435469309467,0.1761870394283552,0.0057249185340984,0.0578159276460175,2416150,13845841,0.1745036650355872,565.4480404853821,,,,,,,,,,,,,,,,,,,N61_static_shell_shell_edge,,,,,shell_edge,,
Stage7J Schwarzschild redesign N71,,71,schwarzschild_like,0.2269163041065573,1.2841674688450042,0.1054091551613129,2.1845423751462283,0.2995272384091568,0.0119466177505655,0.2679490784739983,17850625,25411681,0.702457464344842,2646.505261421204,,,,,,,,,,,,,,,,,,,N71_schwarzschild_redesign_all,,,,,all,Stage7J_HR1_N71,smooth_bounded_lapse_wall
Stage7J Schwarzschild redesign N71,,71,schwarzschild_like,0.2270631748966135,1.285052821712635,0.1054651957346388,2.187956317839961,0.2997703921316166,0.0124214839456802,0.346271623697939,9912045,25411681,0.390058611234731,2642.3377125263214,,,,,,,,,,,,,,,,,,,N71_schwarzschild_redesign_localized,,,,,localized,Stage7J_HR1_N71,smooth_bounded_lapse_wall
Stage7J Schwarzschild redesign N71,,71,schwarzschild_like,0.3897554140643121,1.93910759462127,0.1115604984965853,9.156082281626473,0.506295590457966,0.0198368740131804,0.3764823780555987,1310790,25411681,0.0515821837996471,2605.846364736557,,,,,,,,,,,,,,,,,,,N71_schwarzschild_redesign_schwarz_center,,,,,schwarz_center,Stage7J_HR1_N71,smooth_bounded_lapse_wall
Stage7J Schwarzschild redesign N71,,71,schwarzschild_like,0.2126626967316319,1.4139386386126709,0.1063174247201666,2.625953216393004,0.3362611381379073,0.0092198119153615,0.4388772366082262,4519060,25411681,0.1778339654114184,2632.8109259605408,,,,,,,,,,,,,,,,,,,N71_schwarzschild_redesign_schwarz_edge,,,,,schwarz_edge,Stage7J_HR1_N71,smooth_bounded_lapse_wall
Stage7J Schwarzschild redesign N71,,71,schwarzschild_like,0.2249535815115874,-2.355792058403096,0.2299505991715879,1.2053940608375038,0.1311525097472376,0.0103697642786012,0.2990767046516174,8489910,25411681,0.3340947810575774,2648.7333946228027,,,,,,,,,,,,,,,,,,,N71_schwarzschild_redesign_schwarz_exterior,,,,,schwarz_exterior,Stage7J_HR1_N71,smooth_bounded_lapse_wall
Stage7J Schwarzschild redesign N71,,71,schwarzschild_like,0.7745697184795962,4.300884866325337,-0.2434987993097424,2.274431988678036,0.7886702654065392,0.0149258335571936,0.5492979537276165,1422135,25411681,0.0559638301771535,2550.848636865616,,,,,,,,,,,,,,,,,,,N71_schwarzschild_redesign_schwarz_interior,,,,,schwarz_interior,Stage7J_HR1_N71,smooth_bounded_lapse_wall
